ATC_CODE,ATC_Level_1,ATC_Level_2,ATC_Level_3,ATC_Level_4,ATC_Level_5
A01AB09,A,A01,A01A,A01AB,A01AB09
A01AB17,A,A01,A01A,A01AB,A01AB17
A02BC01,A,A02,A02B,A02BC,A02BC01
A02BD01,A,A02,A02B,A02BD,A02BD01
A02BD02,A,A02,A02B,A02BD,A02BD02
A02BD03,A,A02,A02B,A02BD,A02BD03
A02BD04,A,A02,A02B,A02BD,A02BD04
A02BD05,A,A02,A02B,A02BD,A02BD05
A02BD06,A,A02,A02B,A02BD,A02BD06
A02BD07,A,A02,A02B,A02BD,A02BD07
A02BD08,A,A02,A02B,A02BD,A02BD08
A02BD09,A,A02,A02B,A02BD,A02BD09
A02BD10,A,A02,A02B,A02BD,A02BD10
A02BD11,A,A02,A02B,A02BD,A02BD11
A06AX06,A,A06,A06A,A06AX,A06AX06
A07AC01,A,A07,A07A,A07AC,A07AC01
A08AA62,A,A08,A08A,A08AA,A08AA62
A10BH51,A,A10,A10B,A10BH,A10BH51
A10BH52,A,A10,A10B,A10BH,A10BH52
B01AC04,B,B01,B01A,B01AC,B01AC04
B01AA03,B,B01,B01A,B01AA,B01AA03
C01BD01,C,C01,C01B,C01BD,C01BD01
C01EB03,C,C01,C01E,C01EB,C01EB03
C01EB16,C,C01,C01E,C01EB,C01EB16
C01AA05,C,C01,C01A,C01AA,C01AA05
C01AA07,C,C01,C01A,C01AA,C01AA07
C08CA06,C,C08,C08C,C08CA,C08CA06
C10AB04,C,C10,C10A,C10AB,C10AB04
C10AB05,C,C10,C10A,C10AB,C10AB05
C10BA01,C,C10,C10B,C10BA,C10BA01
C10BA02,C,C10,C10B,C10BA,C10BA02
C10BA03,C,C10,C10B,C10BA,C10BA03
C10BA04,C,C10,C10B,C10BA,C10BA04
C10BA05,C,C10,C10B,C10BA,C10BA05
C10BA06,C,C10,C10B,C10BA,C10BA06
C10BX01,C,C10,C10B,C10BX,C10BX01
C10BX02,C,C10,C10B,C10BX,C10BX02
C10BX03,C,C10,C10B,C10BX,C10BX03
C10BX04,C,C10,C10B,C10BX,C10BX04
C10BX05,C,C10,C10B,C10BX,C10BX05
C10BX06,C,C10,C10B,C10BX,C10BX06
C10BX07,C,C10,C10B,C10BX,C10BX07
C10BX08,C,C10,C10B,C10BX,C10BX08
C10BX09,C,C10,C10B,C10BX,C10BX09
C10BX10,C,C10,C10B,C10BX,C10BX10
C10BX11,C,C10,C10B,C10BX,C10BX11
C10BX12,C,C10,C10B,C10BX,C10BX12
C10BX13,C,C10,C10B,C10BX,C10BX13
C10BX14,C,C10,C10B,C10BX,C10BX14
C10BX15,C,C10,C10B,C10BX,C10BX15
C10AA01,C,C10,C10A,C10AA,C10AA01
C10AA02,C,C10,C10A,C10AA,C10AA02
C10AA03,C,C10,C10A,C10AA,C10AA03
C10AA04,C,C10,C10A,C10AA,C10AA04
C10AA05,C,C10,C10A,C10AA,C10AA05
C10AA07,C,C10,C10A,C10AA,C10AA07
D01AC02,D,D01,D01A,D01AC,D01AC02
D01AC08,D,D01,D01A,D01AC,D01AC08
D01AC15,D,D01,D01A,D01AC,D01AC15
D01AC52,D,D01,D01A,D01AC,D01AC52
D06BX01,D,D06,D06B,D06BX,D06BX01
D10AF02,D,D10,D10A,D10AF,D10AF02
D10AF52,D,D10,D10A,D10AF,D10AF52
D11AX18,D,D11,D11A,D11AX,D11AX18
G01AE10,G,G01,G01A,G01AE,G01AE10
G01AF01,G,G01,G01A,G01AF,G01AF01
G01AF04,G,G01,G01A,G01AF,G01AF04
